OV-LWA antenna beams										
2015NOV09 GRASP										
3mx3m ground screen										
30 dia x 5 m thick lossy ground										
										
										
theta[deg]	phi[deg]	freq[MHz]	co[real]	co[imag]	cx[real]	cx[imag]	theta[real]	theta[imag]	phi[real]	phi[imag]
80	25	20	-1.2561E-01	3.1335E-01	6.9778E-02	-1.9711E-02	-8.4355E-02	2.7566E-01	1.1633E-01	-1.5029E-01
85	25	20	-6.2357E-02	2.8986E-01	6.1922E-02	-1.8904E-02	-3.0345E-02	2.5472E-01	8.2474E-02	-1.3963E-01
90	25	20	-6.5502E-03	2.6701E-01	5.2562E-02	-1.5722E-02	1.6277E-02	2.3535E-01	5.0405E-02	-1.2709E-01
0	30	20	-1.0425E+00	6.4191E-01	-6.4996E-06	5.2622E-06	-9.0280E-01	5.5592E-01	5.2123E-01	-3.2095E-01
5	30	20	-1.0338E+00	6.4334E-01	5.8678E-03	2.2112E-03	-8.9236E-01	5.5825E-01	5.2198E-01	-3.1975E-01
10	30	20	-1.0092E+00	6.4684E-01	2.1978E-02	8.3958E-03	-8.6303E-01	5.6438E-01	5.2365E-01	-3.1615E-01
15	30	20	-9.7241E-01	6.5033E-01	4.4343E-02	1.7314E-02	-8.1996E-01	5.7186E-01	5.2461E-01	-3.1017E-01
20	30	20	-9.2788E-01	6.5097E-01	6.7899E-02	2.7132E-02	-7.6962E-01	5.7732E-01	5.2274E-01	-3.0199E-01
25	30	20	-8.7945E-01	6.4586E-01	8.8119E-02	3.5792E-02	-7.1757E-01	5.7723E-01	5.1604E-01	-2.9194E-01
30	30	20	-8.2912E-01	6.3293E-01	1.0222E-01	4.1453E-02	-6.6693E-01	5.6886E-01	5.0309E-01	-2.8057E-01
35	30	20	-7.7688E-01	6.1142E-01	1.0958E-01	4.2907E-02	-6.1800E-01	5.5096E-01	4.8334E-01	-2.6855E-01
40	30	20	-7.2133E-01	5.8209E-01	1.1132E-01	3.9826E-02	-5.6902E-01	5.2401E-01	4.5707E-01	-2.5655E-01
45	30	20	-6.6075E-01	5.4697E-01	1.0945E-01	3.2768E-02	-5.1750E-01	4.9007E-01	4.2516E-01	-2.4511E-01
50	30	20	-5.9409E-01	5.0878E-01	1.0596E-01	2.2948E-02	-4.6151E-01	4.5209E-01	3.8881E-01	-2.3452E-01
55	30	20	-5.2150E-01	4.7026E-01	1.0222E-01	1.1880E-02	-4.0053E-01	4.1320E-01	3.4927E-01	-2.2484E-01
60	30	20	-4.4440E-01	4.3358E-01	9.8722E-02	1.0327E-03	-3.3550E-01	3.7601E-01	3.0769E-01	-2.1589E-01
65	30	20	-3.6506E-01	4.0000E-01	9.5269E-02	-8.4170E-03	-2.6852E-01	3.4220E-01	2.6504E-01	-2.0729E-01
70	30	20	-2.8614E-01	3.6989E-01	9.1250E-02	-1.5679E-02	-2.0218E-01	3.1250E-01	2.2209E-01	-1.9852E-01
75	30	20	-2.1009E-01	3.4286E-01	8.5988E-02	-2.0321E-02	-1.3895E-01	2.8676E-01	1.7951E-01	-1.8903E-01
80	30	20	-1.3893E-01	3.1803E-01	7.8998E-02	-2.2180E-02	-8.0818E-02	2.6434E-01	1.3788E-01	-1.7823E-01
85	30	20	-7.4054E-02	2.9438E-01	7.0115E-02	-2.1256E-02	-2.9076E-02	2.4431E-01	9.7748E-02	-1.6560E-01
90	30	20	-1.6354E-02	2.7089E-01	5.9522E-02	-1.7652E-02	1.5598E-02	2.2577E-01	5.9725E-02	-1.5073E-01
0	35	20	-1.0425E+00	6.4191E-01	-6.4996E-06	5.2622E-06	-8.5394E-01	5.2583E-01	5.9793E-01	-3.6818E-01
5	35	20	-1.0349E+00	6.4295E-01	6.3671E-03	2.3993E-03	-8.4408E-01	5.2805E-01	5.9880E-01	-3.6682E-01
10	35	20	-1.0133E+00	6.4537E-01	2.3846E-02	9.1109E-03	-8.1636E-01	5.3388E-01	6.0073E-01	-3.6271E-01
15	35	20	-9.8062E-01	6.4731E-01	4.8108E-02	1.8790E-02	-7.7568E-01	5.4103E-01	6.0187E-01	-3.5589E-01
20	35	20	-9.4050E-01	6.4625E-01	7.3657E-02	2.9451E-02	-7.2816E-01	5.4627E-01	5.9978E-01	-3.4655E-01
25	35	20	-8.9589E-01	6.3968E-01	9.5581E-02	3.8858E-02	-6.7905E-01	5.4628E-01	5.9216E-01	-3.3507E-01
30	35	20	-8.4830E-01	6.2583E-01	1.1087E-01	4.5013E-02	-6.3129E-01	5.3847E-01	5.7738E-01	-3.2209E-01
35	35	20	-7.9756E-01	6.0416E-01	1.1884E-01	4.6603E-02	-5.8516E-01	5.2163E-01	5.5481E-01	-3.0836E-01
40	35	20	-7.4247E-01	5.7549E-01	1.2071E-01	4.3270E-02	-5.3896E-01	4.9623E-01	5.2475E-01	-2.9464E-01
45	35	20	-6.8166E-01	5.4175E-01	1.1869E-01	3.5619E-02	-4.9031E-01	4.6420E-01	4.8821E-01	-2.8156E-01
50	35	20	-6.1442E-01	5.0543E-01	1.1493E-01	2.4967E-02	-4.3738E-01	4.2835E-01	4.4656E-01	-2.6945E-01
55	35	20	-5.4115E-01	4.6900E-01	1.1090E-01	1.2961E-02	-3.7968E-01	3.9162E-01	4.0123E-01	-2.5839E-01
60	35	20	-4.6335E-01	4.3436E-01	1.0714E-01	1.1963E-03	-3.1810E-01	3.5649E-01	3.5353E-01	-2.4816E-01
