OV-LWA antenna beams										
2015NOV09 GRASP										
3mx3m ground screen										
30 dia x 5 m thick lossy ground										
										
										
theta[deg]	phi[deg]	freq[MHz]	co[real]	co[imag]	cx[real]	cx[imag]	theta[real]	theta[imag]	phi[real]	phi[imag]
50	15	70	-9.6800E-01	-7.3305E-01	9.4952E-02	-8.9021E-03	-9.1044E-01	-7.1038E-01	3.4225E-01	1.8113E-01
55	15	70	-8.8167E-01	-6.5681E-01	9.3273E-02	7.0745E-03	-8.2748E-01	-6.3260E-01	3.1829E-01	1.7683E-01
60	15	70	-8.0492E-01	-5.7250E-01	7.5295E-02	2.1113E-02	-7.5800E-01	-5.4753E-01	2.8106E-01	1.6857E-01
65	15	70	-7.3203E-01	-4.9252E-01	4.8751E-02	2.2047E-02	-6.9447E-01	-4.7003E-01	2.3655E-01	1.4877E-01
70	15	70	-6.5918E-01	-4.0619E-01	2.3270E-02	1.3246E-02	-6.3069E-01	-3.8892E-01	1.9308E-01	1.1793E-01
75	15	70	-5.8812E-01	-3.0400E-01	3.2429E-03	3.0395E-03	-5.6725E-01	-2.9285E-01	1.5535E-01	8.1616E-02
80	15	70	-5.1879E-01	-1.8786E-01	-1.1019E-02	-2.9130E-03	-5.0396E-01	-1.8221E-01	1.2363E-01	4.5808E-02
85	15	70	-4.4571E-01	-6.6456E-02	-2.0147E-02	-2.6656E-03	-4.3574E-01	-6.4881E-02	9.5898E-02	1.4625E-02
90	15	70	-3.6091E-01	4.9136E-02	-2.4259E-02	3.2592E-03	-3.5489E-01	4.8305E-02	6.9978E-02	-9.5692E-03
0	20	70	-1.5801E+00	-1.0237E+00	-2.0870E-05	3.2882E-06	-1.4848E+00	-9.6192E-01	5.4040E-01	3.5011E-01
5	20	70	-1.5721E+00	-1.0812E+00	3.9498E-03	-2.1396E-02	-1.4759E+00	-1.0233E+00	5.4140E-01	3.4967E-01
10	20	70	-1.5428E+00	-1.1071E+00	1.5352E-02	-2.6917E-02	-1.4445E+00	-1.0496E+00	5.4209E-01	3.5337E-01
15	20	70	-1.4971E+00	-1.0146E+00	2.7261E-02	9.0952E-03	-1.3974E+00	-9.5030E-01	5.3764E-01	3.5556E-01
20	20	70	-1.4462E+00	-9.6278E-01	3.7931E-02	1.2627E-02	-1.3460E+00	-9.0039E-01	5.3028E-01	3.4115E-01
25	20	70	-1.3794E+00	-9.7699E-01	5.8519E-02	-1.6223E-02	-1.2762E+00	-9.2362E-01	5.2676E-01	3.1890E-01
30	20	70	-1.2932E+00	-9.3232E-01	8.5234E-02	-1.3217E-02	-1.1861E+00	-8.8061E-01	5.2240E-01	3.0645E-01
35	20	70	-1.2123E+00	-8.3877E-01	9.9414E-02	1.0874E-02	-1.1052E+00	-7.8447E-01	5.0804E-01	2.9710E-01
40	20	70	-1.1454E+00	-7.8750E-01	1.0257E-01	8.5105E-03	-1.0412E+00	-7.3709E-01	4.8814E-01	2.7734E-01
45	20	70	-1.0730E+00	-7.7270E-01	1.1139E-01	-1.1288E-02	-9.7019E-01	-7.2997E-01	4.7166E-01	2.5367E-01
50	20	70	-9.8726E-01	-7.3433E-01	1.2394E-01	-1.2126E-02	-8.8533E-01	-6.9420E-01	4.5412E-01	2.3976E-01
55	20	70	-9.0097E-01	-6.6143E-01	1.2213E-01	8.5305E-03	-8.0487E-01	-6.1863E-01	4.2292E-01	2.3424E-01
60	20	70	-8.2098E-01	-5.7998E-01	9.9128E-02	2.6649E-02	-7.3757E-01	-5.3589E-01	3.7394E-01	2.2341E-01
65	20	70	-7.4304E-01	-5.0010E-01	6.4944E-02	2.7829E-02	-6.7602E-01	-4.6042E-01	3.1516E-01	1.9719E-01
70	20	70	-6.6526E-01	-4.1173E-01	3.1995E-02	1.6465E-02	-6.1420E-01	-3.8127E-01	2.5760E-01	1.5629E-01
75	20	70	-5.9031E-01	-3.0705E-01	5.9110E-03	3.2882E-03	-5.5269E-01	-2.8740E-01	2.0745E-01	1.0811E-01
80	20	70	-5.1816E-01	-1.8916E-01	-1.2881E-02	-4.4333E-03	-4.9131E-01	-1.7927E-01	1.6512E-01	6.0532E-02
85	20	70	-4.4319E-01	-6.7175E-02	-2.5121E-02	-4.1811E-03	-4.2506E-01	-6.4554E-02	1.2797E-01	1.9046E-02
90	20	70	-3.5742E-01	4.7898E-02	-3.0890E-02	3.4248E-03	-3.4643E-01	4.6181E-02	9.3219E-02	-1.3164E-02
0	25	70	-1.5801E+00	-1.0237E+00	-2.0870E-05	3.2882E-06	-1.4320E+00	-9.2774E-01	6.6775E-01	4.3262E-01
5	25	70	-1.5727E+00	-1.0771E+00	4.6982E-03	-2.5480E-02	-1.4233E+00	-9.8693E-01	6.6890E-01	4.3210E-01
10	25	70	-1.5454E+00	-1.1020E+00	1.8261E-02	-3.2045E-02	-1.3929E+00	-1.0123E+00	6.6965E-01	4.3669E-01
15	25	70	-1.5020E+00	-1.0166E+00	3.2450E-02	1.0852E-02	-1.3476E+00	-9.1679E-01	6.6420E-01	4.3948E-01
20	25	70	-1.4532E+00	-9.6601E-01	4.5252E-02	1.4908E-02	-1.2979E+00	-8.6920E-01	6.5515E-01	4.2176E-01
25	25	70	-1.3900E+00	-9.7516E-01	7.0045E-02	-1.9649E-02	-1.2301E+00	-8.9210E-01	6.5091E-01	3.9431E-01
30	25	70	-1.3089E+00	-9.3139E-01	1.0222E-01	-1.6087E-02	-1.1431E+00	-8.5092E-01	6.4582E-01	3.7904E-01
35	25	70	-1.2310E+00	-8.4290E-01	1.1940E-01	1.2599E-02	-1.0652E+00	-7.5860E-01	6.2845E-01	3.6764E-01
40	25	70	-1.1650E+00	-7.9179E-01	1.2350E-01	9.5086E-03	-1.0037E+00	-7.1358E-01	6.0428E-01	3.4324E-01
45	25	70	-1.0945E+00	-7.7372E-01	1.3464E-01	-1.4445E-02	-9.3508E-01	-7.0733E-01	5.8460E-01	3.1390E-01
50	25	70	-1.0116E+00	-7.3547E-01	1.5039E-01	-1.5549E-02	-8.5326E-01	-6.7313E-01	5.6381E-01	2.9673E-01
55	25	70	-9.2551E-01	-6.6669E-01	1.4883E-01	9.2136E-03	-7.7590E-01	-6.0033E-01	5.2602E-01	2.9011E-01
60	25	70	-8.4159E-01	-5.8884E-01	1.2165E-01	3.0962E-02	-7.1133E-01	-5.2059E-01	4.6592E-01	2.7692E-01
65	25	70	-7.5735E-01	-5.0915E-01	8.0852E-02	3.2418E-02	-6.5222E-01	-4.4774E-01	3.9335E-01	2.4456E-01
70	25	70	-6.7329E-01	-4.1825E-01	4.1286E-02	1.8847E-02	-5.9276E-01	-3.7110E-01	3.2196E-01	1.9384E-01
75	25	70	-5.9334E-01	-3.1040E-01	9.6774E-03	3.0586E-03	-5.3366E-01	-2.8003E-01	2.5953E-01	1.3395E-01
80	25	70	-5.1760E-01	-1.9026E-01	-1.3398E-02	-6.2728E-03	-4.7477E-01	-1.7508E-01	2.0660E-01	7.4721E-02
85	25	70	-4.4029E-01	-6.7550E-02	-2.8725E-02	-6.0923E-03	-4.1117E-01	-6.3796E-02	1.6004E-01	2.3026E-02
90	25	70	-3.5330E-01	4.6731E-02	-3.6303E-02	2.9460E-03	-3.3554E-01	4.3598E-02	1.1641E-01	-1.7079E-02
0	30	70	-1.5801E+00	-1.0237E+00	-2.0870E-05	3.2882E-06	-1.3684E+00	-8.8651E-01	7.9002E-01	5.1183E-01
5	30	70	-1.5733E+00	-1.0723E+00	5.3016E-03	-2.8789E-02	-1.3599E+00	-9.4308E-01	7.9126E-01	5.1124E-01
10	30	70	-1.5484E+00	-1.0961E+00	2.0605E-02	-3.6176E-02	-1.3306E+00	-9.6736E-01	7.9203E-01	5.1673E-01
15	30	70	-1.5078E+00	-1.0190E+00	3.6641E-02	1.2309E-02	-1.2875E+00	-8.7632E-01	7.8563E-01	5.2016E-01
20	30	70	-1.4612E+00	-9.6967E-01	5.1232E-02	1.6699E-02	-1.2399E+00	-8.3141E-01	7.7499E-01	4.9930E-01
25	30	70	-1.4024E+00	-9.7287E-01	7.9593E-02	-2.2604E-02	-1.1747E+00	-8.5383E-01	7.7012E-01	4.6686E-01
30	30	70	-1.3274E+00	-9.3012E-01	1.1642E-01	-1.8611E-02	-1.0914E+00	-8.1481E-01	7.6453E-01	4.4894E-01
35	30	70	-1.2531E+00	-8.4747E-01	1.3623E-01	1.3803E-02	-1.0171E+00	-7.2703E-01	7.4451E-01	4.3569E-01
40	30	70	-1.1882E+00	-7.9639E-01	1.4132E-01	9.9797E-03	-9.5834E-01	-6.8470E-01	7.1649E-01	4.0684E-01
45	30	70	-1.1201E+00	-7.7433E-01	1.5471E-01	-1.7590E-02	-8.9272E-01	-6.7939E-01	6.9405E-01	3.7193E-01
50	30	70	-1.0407E+00	-7.3614E-01	1.7353E-01	-1.9061E-02	-8.1451E-01	-6.4705E-01	6.7063E-01	3.5156E-01
55	30	70	-9.5504E-01	-6.7214E-01	1.7260E-01	9.0798E-03	-7.4079E-01	-5.7755E-01	6.2700E-01	3.4394E-01
60	30	70	-8.6665E-01	-5.9848E-01	1.4225E-01	3.3930E-02	-6.7942E-01	-5.0133E-01	5.5651E-01	3.2862E-01
65	30	70	-7.7507E-01	-5.1903E-01	9.6011E-02	3.5710E-02	-6.2323E-01	-4.3164E-01	4.7069E-01	2.9044E-01
70	30	70	-6.8363E-01	-4.2526E-01	5.0801E-02	2.0292E-02	-5.6664E-01	-3.5814E-01	3.8581E-01	2.3020E-01
75	30	70	-5.9765E-01	-3.1379E-01	1.4354E-02	2.2086E-03	-5.1040E-01	-2.7064E-01	3.1125E-01	1.5881E-01
80	30	70	-5.1746E-01	-1.9104E-01	-1.2574E-02	-8.6253E-03	-4.5442E-01	-1.6976E-01	2.4784E-01	8.8052E-02
85	30	70	-4.3714E-01	-6.7521E-02	-3.0783E-02	-8.6247E-03	-3.9396E-01	-6.2787E-02	1.9191E-01	2.6291E-02
90	30	70	-3.4850E-01	4.5809E-02	-4.0209E-02	1.5837E-03	-3.2192E-01	4.0464E-02	1.3943E-01	-2.1533E-02
0	35	70	-1.5801E+00	-1.0237E+00	-2.0870E-05	3.2882E-06	-1.2943E+00	-8.3852E-01	9.0628E-01	5.8714E-01
5	35	70	-1.5741E+00	-1.0671E+00	5.7416E-03	-3.1222E-02	-1.2861E+00	-8.9205E-01	9.0755E-01	5.8650E-01
10	35	70	-1.5517E+00	-1.0896E+00	2.2317E-02	-3.9187E-02	-1.2583E+00	-9.1505E-01	9.0829E-01	5.9289E-01
15	35	70	-1.5142E+00	-1.0216E+00	3.9718E-02	1.3426E-02	-1.2176E+00	-8.2918E-01	9.0103E-01	5.9699E-01
20	35	70	-1.4702E+00	-9.7364E-01	5.5696E-02	1.7966E-02	-1.1723E+00	-7.8726E-01	8.8888E-01	5.7318E-01
25	35	70	-1.4162E+00	-9.7012E-01	8.6861E-02	-2.4971E-02	-1.1103E+00	-8.0900E-01	8.8346E-01	5.3598E-01
30	35	70	-1.3482E+00	-9.2848E-01	1.2737E-01	-2.0711E-02	-1.0313E+00	-7.7245E-01	8.7761E-01	5.1559E-01
35	35	70	-1.2779E+00	-8.5226E-01	1.4939E-01	1.4421E-02	-9.6114E-01	-6.8986E-01	8.5537E-01	5.0065E-01
40	35	70	-1.2144E+00	-8.0103E-01	1.5552E-01	9.9100E-03	-9.0560E-01	-6.5048E-01	8.2396E-01	4.6757E-01
45	35	70	-1.1493E+00	-7.7432E-01	1.7097E-01	-2.0573E-02	-8.4342E-01	-6.4608E-01	7.9928E-01	4.2728E-01
50	35	70	-1.0741E+00	-7.3608E-01	1.9257E-01	-2.2495E-02	-7.6940E-01	-6.1587E-01	7.7382E-01	4.0377E-01
55	35	70	-9.8915E-01	-6.7739E-01	1.9260E-01	8.1396E-03	-6.9979E-01	-5.5022E-01	7.2512E-01	3.9521E-01
60	35	70	-8.9590E-01	-6.0839E-01	1.6016E-01	3.5413E-02	-6.4201E-01	-4.7805E-01	6.4506E-01	3.7797E-01
65	35	70	-7.9619E-01	-5.2922E-01	1.0988E-01	3.7535E-02	-5.8918E-01	-4.1198E-01	5.4668E-01	3.3430E-01
70	35	70	-6.9646E-01	-4.3230E-01	6.0225E-02	2.0713E-02	-5.3596E-01	-3.4224E-01	4.4881E-01	2.6493E-01
75	35	70	-6.0355E-01	-3.1692E-01	1.9813E-02	7.7278E-04	-4.8304E-01	-2.5916E-01	3.6241E-01	1.8241E-01
80	35	70	-5.1804E-01	-1.9139E-01	-1.0402E-02	-1.1343E-02	-4.3032E-01	-1.6328E-01	2.8862E-01	1.0048E-01
85	35	70	-4.3391E-01	-6.6984E-02	-3.1225E-02	-1.1564E-02	-3.7335E-01	-6.1503E-02	2.2330E-01	2.8947E-02
90	35	70	-3.4306E-01	4.5311E-02	-4.2534E-02	-4.5218E-04	-3.0541E-01	3.6857E-02	1.6193E-01	-2.6360E-02
0	40	70	-1.5801E+00	-1.0237E+00	-2.0870E-05	3.2882E-06	-1.2104E+00	-7.8416E-01	1.0156E+00	6.5799E-01
5	40	70	-1.5749E+00	-1.0616E+00	6.0050E-03	-3.2705E-02	-1.2025E+00	-8.3423E-01	1.0169E+00	6.5731E-01
10	40	70	-1.5552E+00	-1.0827E+00	2.3347E-02	-4.0991E-02	-1.1764E+00	-8.5578E-01	1.0176E+00	6.6457E-01
15	40	70	-1.5210E+00	-1.0245E+00	4.1595E-02	1.4167E-02	-1.1384E+00	-7.7571E-01	1.0095E+00	6.6939E-01
20	40	70	-1.4797E+00	-9.7780E-01	5.8514E-02	1.8693E-02	-1.0959E+00	-7.3702E-01	9.9596E-01	6.4284E-01
25	40	70	-1.4311E+00	-9.6697E-01	9.1599E-02	-2.6637E-02	-1.0374E+00	-7.5786E-01	9.9007E-01	6.0115E-01
30	40	70	-1.3706E+00	-9.2647E-01	1.3465E-01	-2.2302E-02	-9.6340E-01	-7.2406E-01	9.8416E-01	5.7844E-01
35	40	70	-1.3049E+00	-8.5707E-01	1.5835E-01	1.4424E-02	-8.9783E-01	-6.4728E-01	9.6008E-01	5.6196E-01
40	40	70	-1.2430E+00	-8.0546E-01	1.6551E-01	9.2911E-03	-8.4581E-01	-6.1105E-01	9.2579E-01	5.2486E-01
45	40	70	-1.1814E+00	-7.7350E-01	1.8275E-01	-2.3255E-02	-7.8753E-01	-6.0748E-01	8.9939E-01	4.7938E-01
50	40	70	-1.1111E+00	-7.3506E-01	2.0667E-01	-2.5649E-02	-7.1829E-01	-5.7958E-01	8.7251E-01	4.5284E-01
55	40	70	-1.0272E+00	-6.8206E-01	2.0785E-01	6.4821E-03	-6.5328E-01	-5.1832E-01	8.1950E-01	4.4338E-01
60	40	70	-9.2888E-01	-6.1811E-01	1.7451E-01	3.5334E-02	-5.9939E-01	-4.5078E-01	7.3076E-01	4.2438E-01
65	40	70	-8.2041E-01	-5.3927E-01	1.2181E-01	3.7781E-02	-5.5018E-01	-3.8882E-01	6.2066E-01	3.7558E-01
70	40	70	-7.1161E-01	-4.3898E-01	6.9178E-02	2.0137E-02	-5.0066E-01	-3.2333E-01	5.1041E-01	2.9760E-01
75	40	70	-6.1103E-01	-3.1935E-01	2.5835E-02	-1.0101E-03	-4.5147E-01	-2.4528E-01	4.1255E-01	2.0450E-01
80	40	70	-5.1953E-01	-1.9081E-01	-7.0445E-03	-1.4051E-02	-4.0251E-01	-1.5520E-01	3.2855E-01	1.1188E-01
85	40	70	-4.3103E-01	-6.5515E-02	-3.0184E-02	-1.4540E-02	-3.4959E-01	-5.9534E-02	2.5394E-01	3.0974E-02
90	40	70	-3.3749E-01	4.5509E-02	-4.3342E-02	-2.9131E-03	-2.8639E-01	3.2990E-02	1.8373E-01	-3.1484E-02
0	45	70	-1.5801E+00	-1.0237E+00	-2.0870E-05	3.2882E-06	-1.1173E+00	-7.2383E-01	1.1173E+00	7.2383E-01
5	45	70	-1.5757E+00	-1.0558E+00	6.0842E-03	-3.3195E-02	-1.1099E+00	-7.7006E-01	1.1185E+00	7.2311E-01
10	45	70	-1.5589E+00	-1.0757E+00	2.3667E-02	-4.1539E-02	-1.0856E+00	-7.8999E-01	1.1190E+00	7.3124E-01
15	45	70	-1.5280E+00	-1.0275E+00	4.2223E-02	1.4504E-02	-1.0506E+00	-7.1630E-01	1.1103E+00	7.3681E-01
20	45	70	-1.4896E+00	-9.8203E-01	5.9597E-02	1.8875E-02	-1.0111E+00	-6.8105E-01	1.0954E+00	7.0775E-01
25	45	70	-1.4466E+00	-9.6351E-01	9.3616E-02	-2.7504E-02	-9.5671E-01	-7.0075E-01	1.0891E+00	6.6186E-01
30	45	70	-1.3941E+00	-9.2413E-01	1.3790E-01	-2.3278E-02	-8.8825E-01	-6.6992E-01	1.0833E+00	6.3700E-01
35	45	70	-1.3332E+00	-8.6168E-01	1.6262E-01	1.3854E-02	-8.2773E-01	-5.9950E-01	1.0577E+00	6.1909E-01
40	45	70	-1.2732E+00	-8.0946E-01	1.7073E-01	8.1855E-03	-7.7955E-01	-5.6658E-01	1.0210E+00	5.7816E-01
45	45	70	-1.2155E+00	-7.7176E-01	1.8940E-01	-2.5466E-02	-7.2556E-01	-5.6372E-01	9.9341E-01	5.2771E-01
50	45	70	-1.1507E+00	-7.3290E-01	2.1504E-01	-2.8257E-02	-6.6162E-01	-5.3822E-01	9.6573E-01	4.9826E-01
55	45	70	-1.0684E+00	-6.8575E-01	2.1742E-01	4.3704E-03	-6.0172E-01	-4.8181E-01	9.0920E-01	4.8799E-01
60	45	70	-9.6502E-01	-6.2709E-01	1.8428E-01	3.3868E-02	-5.5207E-01	-4.1947E-01	8.1268E-01	4.6737E-01
65	45	70	-8.4746E-01	-5.4868E-01	1.3085E-01	3.6531E-02	-5.0672E-01	-3.6214E-01	6.9176E-01	4.1381E-01
70	45	70	-7.2905E-01	-4.4489E-01	7.6872E-02	1.8621E-02	-4.6116E-01	-3.0142E-01	5.6987E-01	3.2775E-01
75	45	70	-6.2019E-01	-3.2080E-01	3.1828E-02	-3.0598E-03	-4.1603E-01	-2.2900E-01	4.6104E-01	2.2468E-01
80	45	70	-5.2214E-01	-1.8907E-01	-2.8982E-03	-1.6645E-02	-3.7126E-01	-1.4546E-01	3.6716E-01	1.2193E-01
85	45	70	-4.2879E-01	-6.2878E-02	-2.7854E-02	-1.7451E-02	-3.2289E-01	-5.6801E-02	2.8350E-01	3.2122E-02
90	45	70	-3.3214E-01	4.6673E-02	-4.2635E-02	-5.7271E-03	-2.6501E-01	2.8953E-02	2.0471E-01	-3.7052E-02
0	50	70	-1.5801E+00	-1.0237E+00	-2.0870E-05	3.2882E-06	-1.0157E+00	-6.5799E-01	1.2104E+00	7.8416E-01
5	50	70	-1.5765E+00	-1.0501E+00	5.9769E-03	-3.2676E-02	-1.0088E+00	-7.0003E-01	1.2115E+00	7.8342E-01
10	50	70	-1.5625E+00	-1.0686E+00	2.3271E-02	-4.0824E-02	-9.8656E-01	-7.1819E-01	1.2119E+00	7.9239E-01
15	50	70	-1.5351E+00	-1.0306E+00	4.1584E-02	1.4414E-02	-9.5486E-01	-6.5139E-01	1.2027E+00	7.9872E-01
20	50	70	-1.4995E+00	-9.8622E-01	5.8898E-02	1.8517E-02	-9.1873E-01	-6.1975E-01	1.1865E+00	7.6739E-01
25	50	70	-1.4622E+00	-9.5986E-01	9.2800E-02	-2.7499E-02	-8.6880E-01	-6.3805E-01	1.1798E+00	7.1762E-01
30	50	70	-1.4178E+00	-9.2149E-01	1.3693E-01	-2.3534E-02	-8.0647E-01	-6.1035E-01	1.1741E+00	6.9077E-01
35	50	70	-1.3620E+00	-8.6588E-01	1.6187E-01	1.2832E-02	-7.5149E-01	-5.4675E-01	1.1474E+00	6.7155E-01
40	50	70	-1.3041E+00	-8.1283E-01	1.7071E-01	6.7544E-03	-7.0750E-01	-5.1730E-01	1.1087E+00	6.2701E-01
45	50	70	-1.2507E+00	-7.6911E-01	1.9033E-01	-2.6984E-02	-6.5814E-01	-5.1504E-01	1.0804E+00	5.7183E-01
50	50	70	-1.1919E+00	-7.2962E-01	2.1698E-01	-3.0039E-02	-5.9995E-01	-4.9200E-01	1.0525E+00	5.3962E-01
55	50	70	-1.1116E+00	-6.8825E-01	2.2049E-01	2.1416E-03	-5.4561E-01	-4.4076E-01	9.9325E-01	5.2861E-01
60	50	70	-1.0035E+00	-6.3493E-01	1.8852E-01	3.1367E-02	-5.0060E-01	-3.8410E-01	8.8988E-01	5.0655E-01
65	50	70	-8.7686E-01	-5.5701E-01	1.3599E-01	3.4084E-02	-4.5946E-01	-3.3193E-01	7.5912E-01	4.4860E-01
70	50	70	-7.4867E-01	-4.4978E-01	8.2356E-02	1.6367E-02	-4.1815E-01	-2.7657E-01	6.2645E-01	3.5507E-01
75	50	70	-6.3116E-01	-3.2128E-01	3.7048E-02	-5.2314E-03	-3.7732E-01	-2.1052E-01	5.0731E-01	2.4275E-01
80	50	70	-5.2605E-01	-1.8639E-01	1.5719E-03	-1.8940E-02	-3.3693E-01	-1.3432E-01	4.0399E-01	1.3061E-01
85	50	70	-4.2724E-01	-5.9300E-02	-2.4451E-02	-1.9995E-02	-2.9336E-01	-5.3434E-02	3.1157E-01	3.2574E-02
90	50	70	-3.2693E-01	4.8750E-02	-4.0475E-02	-8.4785E-03	-2.4115E-01	2.4841E-02	2.2443E-01	-4.2795E-02
0	55	70	-1.5801E+00	-1.0237E+00	-2.0870E-05	3.2882E-06	-9.0631E-01	-5.8714E-01	1.2943E+00	8.3853E-01
5	55	70	-1.5773E+00	-1.0446E+00	5.6868E-03	-3.1166E-02	-9.0002E-01	-6.2466E-01	1.2953E+00	8.3778E-01
10	55	70	-1.5661E+00	-1.0619E+00	2.2172E-02	-3.8875E-02	-8.8012E-01	-6.4091E-01	1.2956E+00	8.4754E-01
15	55	70	-1.5419E+00	-1.0336E+00	3.9695E-02	1.3884E-02	-8.5189E-01	-5.8147E-01	1.2858E+00	8.5463E-01
20	55	70	-1.5091E+00	-9.9027E-01	5.6414E-02	1.7626E-02	-8.1939E-01	-5.5356E-01	1.2686E+00	8.2129E-01
25	55	70	-1.4775E+00	-9.5615E-01	8.9120E-02	-2.6591E-02	-7.7444E-01	-5.7021E-01	1.2614E+00	7.6798E-01
30	55	70	-1.4412E+00	-9.1863E-01	1.3168E-01	-2.2998E-02	-7.1875E-01	-5.4575E-01	1.2561E+00	7.3931E-01
35	55	70	-1.3905E+00	-8.6955E-01	1.5601E-01	1.1503E-02	-6.6977E-01	-4.8933E-01	1.2285E+00	7.1889E-01
40	55	70	-1.3349E+00	-8.1549E-01	1.6524E-01	5.2188E-03	-6.3034E-01	-4.6347E-01	1.1883E+00	6.7101E-01
45	55	70	-1.2860E+00	-7.6566E-01	1.8515E-01	-2.7568E-02	-5.8597E-01	-4.6175E-01	1.1597E+00	6.1138E-01
50	55	70	-1.2335E+00	-7.2538E-01	2.1195E-01	-3.0780E-02	-5.3388E-01	-4.4127E-01	1.1320E+00	5.7654E-01
55	55	70	-1.1554E+00	-6.8958E-01	2.1644E-01	4.1891E-07	-4.8543E-01	-3.9553E-01	1.0706E+00	5.6487E-01
60	55	70	-1.0429E+00	-6.4149E-01	1.8658E-01	2.8091E-02	-4.4537E-01	-3.4493E-01	9.6135E-01	5.4159E-01
65	55	70	-9.0759E-01	-5.6408E-01	1.3652E-01	3.0775E-02	-4.0874E-01	-2.9833E-01	8.2176E-01	4.7972E-01
70	55	70	-7.6978E-01	-4.5353E-01	8.4913E-02	1.3766E-02	-3.7197E-01	-2.4886E-01	6.7927E-01	3.7941E-01
75	55	70	-6.4358E-01	-3.2077E-01	4.0830E-02	-7.0975E-03	-3.3570E-01	-1.8980E-01	5.5061E-01	2.5869E-01
80	55	70	-5.3116E-01	-1.8284E-01	5.8182E-03	-2.0469E-02	-2.9989E-01	-1.2164E-01	4.3844E-01	1.3803E-01
85	55	70	-4.2651E-01	-5.4924E-02	-2.0378E-02	-2.1675E-02	-2.6133E-01	-4.9258E-02	3.3769E-01	3.2559E-02
90	55	70	-3.2207E-01	5.1603E-02	-3.7110E-02	-1.0671E-02	-2.1513E-01	2.0857E-02	2.4254E-01	-4.8391E-02
0	60	70	-1.5801E+00	-1.0237E+00	-2.0870E-05	3.2882E-06	-7.9005E-01	-5.1182E-01	1.3684E+00	8.8651E-01
5	60	70	-1.5780E+00	-1.0394E+00	5.2228E-03	-2.8712E-02	-7.8447E-01	-5.4454E-01	1.3692E+00	8.8575E-01
10	60	70	-1.5695E+00	-1.0556E+00	2.0404E-02	-3.5760E-02	-7.6706E-01	-5.5875E-01	1.3694E+00	8.9626E-01
15	60	70	-1.5484E+00	-1.0365E+00	3.6608E-02	1.2912E-02	-7.4249E-01	-5.0707E-01	1.3593E+00	9.0409E-01
20	60	70	-1.5183E+00	-9.9406E-01	5.2193E-02	1.6223E-02	-7.1393E-01	-4.8298E-01	1.3409E+00	8.6899E-01
25	60	70	-1.4919E+00	-9.5254E-01	8.2632E-02	-2.4795E-02	-6.7440E-01	-4.9774E-01	1.3334E+00	8.1252E-01
30	60	70	-1.4633E+00	-9.1570E-01	1.2224E-01	-2.1652E-02	-6.2581E-01	-4.7660E-01	1.3284E+00	7.8219E-01
35	60	70	-1.4178E+00	-8.7262E-01	1.4514E-01	9.9847E-03	-5.8319E-01	-4.2766E-01	1.3004E+00	7.6070E-01
40	60	70	-1.3646E+00	-8.1745E-01	1.5435E-01	3.7834E-03	-5.4865E-01	-4.0545E-01	1.2590E+00	7.0982E-01
45	60	70	-1.3202E+00	-7.6164E-01	1.7372E-01	-2.6990E-02	-5.0966E-01	-4.0419E-01	1.2302E+00	6.4610E-01
50	60	70	-1.2739E+00	-7.2036E-01	1.9962E-01	-3.0301E-02	-4.6406E-01	-3.8642E-01	1.2030E+00	6.0870E-01
55	60	70	-1.1984E+00	-6.8971E-01	2.0483E-01	-1.9286E-03	-4.2179E-01	-3.4652E-01	1.1402E+00	5.9634E-01
60	60	70	-1.0820E+00	-6.4661E-01	1.7796E-01	2.4172E-02	-3.8688E-01	-3.0237E-01	1.0260E+00	5.7207E-01
65	60	70	-9.3845E-01	-5.6978E-01	1.3193E-01	2.6824E-02	-3.5497E-01	-2.6166E-01	8.7868E-01	5.0686E-01
70	60	70	-7.9139E-01	-4.5611E-01	8.3935E-02	1.1129E-02	-3.2301E-01	-2.1842E-01	7.2733E-01	4.0057E-01
75	60	70	-6.5674E-01	-3.1925E-01	4.2496E-02	-8.3229E-03	-2.9157E-01	-1.6683E-01	5.9000E-01	2.7232E-01
80	60	70	-5.3713E-01	-1.7838E-01	9.1704E-03	-2.0956E-02	-2.6062E-01	-1.0734E-01	4.6975E-01	1.4400E-01
85	60	70	-4.2665E-01	-4.9681E-02	-1.6173E-02	-2.2303E-02	-2.2733E-01	-4.4156E-02	3.6140E-01	3.1874E-02
90	60	70	-3.1794E-01	5.5300E-02	-3.2844E-02	-1.2191E-02	-1.8742E-01	1.7092E-02	2.5893E-01	-5.3987E-02
0	65	70	-1.5801E+00	-1.0237E+00	-2.0870E-05	3.2882E-06	-6.6779E-01	-4.3261E-01	1.4320E+00	9.2774E-01
5	65	70	-1.5787E+00	-1.0347E+00	4.5992E-03	-2.5387E-02	-6.6300E-01	-4.6027E-01	1.4327E+00	9.2699E-01
10	65	70	-1.5725E+00	-1.0499E+00	1.8022E-02	-3.1579E-02	-6.4824E-01	-4.7232E-01	1.4328E+00	9.3816E-01
15	65	70	-1.5543E+00	-1.0392E+00	3.2407E-02	1.1513E-02	-6.2749E-01	-4.2874E-01	1.4223E+00	9.4668E-01
20	65	70	-1.5266E+00	-9.9749E-01	4.6334E-02	1.4337E-02	-6.0316E-01	-4.0856E-01	1.4031E+00	9.1009E-01
